,source,id,sent_at,text,chat_participiant_id,chat_participiant_type
0,nuance,vkmwerdi4pqep3dwnpkq2,2022-03-30T08:39:28-05:00,su manual es algo confuso,visitor,-6.15237199498604e+18
1,nuance,vkmwerdi4pqep3dwnpkq2,2022-03-30T08:40:53-05:00,"Perfecto, le facilito los datos de los compañeros del Servicio técnico",rep,503247383.0
2,nuance,vkogeqw7dpd2qzq2am3oi,2022-03-29T04:45:45-05:00,¿Puedo ayudarle en alguna cosa más?,rep,503247383.0
3,nuance,vkqgeqnt6d7s6gltxf6hm,2022-03-28T07:23:05-05:00,"De éste modo, me pondría en contacto con los compañeros encargados",rep,503247383.0
4,nuance,vkpweqm7qe4sfnr7gfpju,2022-03-28T05:54:54-05:00,Agent '503247383' enters chat (as <PERSON>),rep,503247383.0
5,nuance,vkpweqm7qe4sfnr7gfpju,2022-03-28T05:57:32-05:00,Solo eso.,visitor,-6.154342331791002e+18
6,nuance,vkpweqm7qe4sfnr7gfpju,2022-03-28T06:04:31-05:00,Chat Session Ended due to agent leaving the chatroom,visitor,-6.154342331791002e+18
7,nuance,ukngeob47cofysilo4enw,2022-03-21T03:19:24-05:00,Chat Session Ended due to agent leaving the chatroom,visitor,-6.727706927138936e+18
8,nuance,ukmgek2g5s66kbvj56kvc,2022-03-11T06:07:49-06:00,"Lo siento, solo tenemos este teléfono de contacto.",rep,503274634.0
9,nuance,ukowekznlaghxl76g2uaa,2022-03-11T04:27:23-06:00,Gracias por ponerse en contacto con nosotros. ¡Esperamos volver a saber de usted muy pronto! Que tenga un buen día.,rep,503274634.0
10,nuance,vkswekgxsci7zky4flohe,2022-03-09T09:52:52-06:00,Customer connection lost. The customer lost network connectivity,visitor,-6.151527688459298e+18
11,nuance,vkqweifp2dk4onyd74fss,2022-03-03T05:57:01-06:00,PDL?,visitor,-6.152935098370128e+18
12,nuance,vknwehqlll2prgk6fj2xe,2022-03-01T05:11:02-06:00,¡Hola! ¿Cómo puedo ayudarle hoy?,bot,
13,nuance,vknwehqlll2prgk6fj2xe,2022-03-01T05:12:06-06:00,transfer notes: auto transferred because agent did not respond within SLA,bot,
14,nuance,vkmgef3mivgrr4f3rvmlu,2022-02-24T04:39:57-06:00,"transfer initiates 503274634 (agentGroup: ES-Sales, businessUnit: GEHC-EMEA_Sales) - attributes required: NONE",bot,
15,nuance,ukmgefrhks6wxjdi6oyg6,2022-02-23T05:34:00-06:00,Chat transfer failed: Appropriate agent for transfer is not found,bot,
16,nuance,ukpgee3mpsu7aosqcjmvq,2022-02-21T04:00:42-06:00,"Muchas gracias, enviamos su solicitud al responsable encargado.",rep,503274634.0
17,nuance,ukrwedt35klwbv7v66kfc,2022-02-17T09:57:32-06:00,and IO have to do an internship to graduate,visitor,-6.7293959288525e+18
18,nuance,ukmwedqzjcr4l3x2w3e5o,2022-02-17T03:09:58-06:00,"¡Gracias por contactar! Nuestros agentes no están disponibles para ayudarle en este momento. Si necesita asistencia inmediata, llame al 900-993-620 o visite nuestra página web en el apartado <a href=""https://www.gehealthcare.es/about/contact-us"" target=""_blank"">Contáctenos<a/> para consultas adicionales.",bot,
19,nuance,ukmwedqzjcr4l3x2w3e5o,2022-02-17T03:18:58-06:00,"¡Gracias por contactar! Nuestros agentes no están disponibles para ayudarle en este momento. Si necesita asistencia inmediata, llame al 900-993-620 o visite nuestra página web en el apartado <a href=""https://www.gehealthcare.es/about/contact-us"" target=""_blank"">Contáctenos<a/> para consultas adicionales.",bot,
20,nuance,ukmwedqzjcr4l3x2w3e5o,2022-02-17T03:27:58-06:00,"¡Gracias por contactar! Nuestros agentes no están disponibles para ayudarle en este momento. Si necesita asistencia inmediata, llame al 900-993-620 o visite nuestra página web en el apartado <a href=""https://www.gehealthcare.es/about/contact-us"" target=""_blank"">Contáctenos<a/> para consultas adicionales.",bot,
21,nuance,ukmwedqzjcr4l3x2w3e5o,2022-02-17T03:37:43-06:00,"¡Gracias por contactar! Nuestros agentes no están disponibles para ayudarle en este momento. Si necesita asistencia inmediata, llame al 900-993-620 o visite nuestra página web en el apartado <a href=""https://www.gehealthcare.es/about/contact-us"" target=""_blank"">Contáctenos<a/> para consultas adicionales.",bot,
22,nuance,ukmgedhrg65ahl7pr3y7q,2022-02-16T05:53:29-06:00,¿Para que aparato lo necesita?,rep,503274634.0
23,nuance,ukqgec6c2szd7avujudhw,2022-02-15T08:33:45-06:00,"Por favor, tómese un minuto o dos para dejarnos sus comentarios en la encuesta que encontrará cuando el chat termine. Nos encantaría oírle y tomar nota de sus comentarios para ayudarnos a ofrecerle un mejor servicio.",rep,503274634.0
24,nuance,ukngec3ndj4c7sbhb7cy6,2022-02-15T02:30:06-06:00,Muchas gracias,rep,503274634.0
25,nuance,uknwecsalfy7ohoqd44iy,2022-02-14T04:55:05-06:00,"De nuevo gracias por su visita a GE Healthcare, esperamos que su sesión de chat haya sido de ayuda. Si tiene mas preguntas o necesita ponerse en contacto por cualquier motivo, estamos a un click de distancia.",rep,503274634.0
26,nuance,ukmwebr23zr3btc4xlmri,2022-02-11T03:39:35-06:00,¡Hola! ¿Podría ayudarle con alguna pregunta que tenga?,bot,
